undertone,body_type,occasion,n_items,has_outerwear,has_accessory,color_contrast,pattern_mix,undertone_enc,body_type_enc,occasion_enc,compatibility_score,is_compatible
warm,oval,party,5,0,1,0.55,0,0,5,2,0.7791,1
neutral,oval,casual,3,0,1,0.59,0,2,5,0,0.6811,0
warm,rectangle,casual,4,0,0,0.7,1,0,3,0,0.7611,1
warm,pear,party,4,1,0,0.75,0,0,2,2,0.7144,0
cool,rectangle,sports,4,1,1,0.43,0,1,3,4,0.727,0
cool,oval,party,4,1,0,0.7,0,1,5,2,0.8102,1
cool,rectangle,party,3,1,1,0.69,0,1,3,2,0.8186,1
warm,oval,ethnic,3,0,1,0.6,0,0,5,3,0.8129,1
warm,pear,formal,5,1,0,0.11,0,0,2,1,0.7844,1
warm,apple,sports,4,1,1,0.23,0,0,4,4,0.7423,0
cool,inverted_triangle,formal,3,0,1,0.29,0,1,1,1,0.842,1
cool,rectangle,casual,4,1,1,0.48,1,1,3,0,0.7459,0
neutral,pear,party,3,1,1,0.24,1,2,2,2,0.832,1
warm,apple,party,5,1,1,0.26,0,0,4,2,0.7141,0
cool,pear,sports,5,0,1,0.71,0,1,2,4,0.7609,1
cool,pear,ethnic,4,1,0,0.62,0,1,2,3,0.7452,0
warm,oval,casual,3,1,1,0.34,0,0,5,0,0.8145,1
cool,pear,casual,4,0,0,0.78,0,1,2,0,0.7611,1
warm,apple,casual,4,1,1,0.64,0,0,4,0,0.7816,1
cool,oval,casual,3,1,1,0.68,1,1,5,0,0.7572,1
warm,pear,formal,4,0,0,0.32,0,0,2,1,0.8232,1
cool,inverted_triangle,ethnic,5,1,1,0.52,0,1,1,3,0.7426,0
cool,inverted_triangle,party,3,0,1,0.69,0,1,1,2,0.8608,1
cool,oval,casual,5,1,1,0.38,0,1,5,0,0.7611,1
warm,rectangle,party,4,1,1,0.6,0,0,3,2,0.8044,1
cool,hourglass,casual,5,1,1,0.66,0,1,0,0,0.7472,0
cool,rectangle,ethnic,4,1,1,0.84,1,1,3,3,0.8528,1
cool,pear,party,4,1,1,0.25,0,1,2,2,0.9785,1
warm,hourglass,ethnic,3,1,1,0.51,1,0,0,3,0.8081,1
cool,hourglass,sports,5,0,1,0.37,1,1,0,4,0.7065,0
cool,hourglass,party,5,0,0,0.77,0,1,0,2,0.8628,1
cool,pear,formal,5,0,0,0.31,1,1,2,1,0.8359,1
warm,apple,sports,3,1,0,0.71,0,0,4,4,0.7361,0
cool,hourglass,casual,4,1,0,0.56,0,1,0,0,0.7725,1
warm,inverted_triangle,formal,5,1,1,0.49,1,0,1,1,0.9207,1
warm,pear,casual,4,0,1,0.36,1,0,2,0,0.8309,1
warm,inverted_triangle,party,5,0,0,0.82,0,0,1,2,0.9028,1
warm,oval,casual,4,1,1,0.6,0,0,5,0,0.7334,0
warm,oval,sports,3,0,1,0.18,1,0,5,4,0.7119,0
neutral,hourglass,formal,4,0,1,0.5,0,2,0,1,0.99,1
warm,rectangle,sports,5,1,1,0.26,0,0,3,4,0.6902,0
cool,pear,ethnic,3,1,1,0.83,0,1,2,3,0.8322,1
warm,apple,sports,5,0,1,0.67,0,0,4,4,0.71,0
cool,rectangle,ethnic,3,1,1,0.87,1,1,3,3,0.7897,1
neutral,hourglass,casual,4,1,1,0.79,1,2,0,0,0.8033,1
cool,inverted_triangle,party,5,0,0,0.76,1,1,1,2,0.7252,0
warm,apple,casual,3,0,0,0.41,1,0,4,0,0.8068,1
cool,pear,formal,3,0,1,0.52,0,1,2,1,0.8363,1
cool,oval,ethnic,4,1,1,0.45,0,1,5,3,0.7163,0
neutral,rectangle,sports,3,1,0,0.66,0,2,3,4,0.702,0
warm,rectangle,sports,3,0,0,0.78,1,0,3,4,0.723,0
neutral,pear,ethnic,4,0,0,0.5,0,2,2,3,0.7277,0
cool,hourglass,casual,5,1,0,0.38,0,1,0,0,0.8061,1
neutral,pear,formal,3,1,0,0.46,1,2,2,1,0.8425,1
warm,rectangle,ethnic,3,1,1,0.6,0,0,3,3,0.7861,1
neutral,apple,casual,5,0,0,0.15,0,2,4,0,0.6976,0
neutral,rectangle,ethnic,4,1,1,0.68,1,2,3,3,0.7675,1
warm,pear,sports,4,1,1,0.86,0,0,2,4,0.6562,0
neutral,apple,casual,3,0,1,0.46,0,2,4,0,0.7227,0
neutral,inverted_triangle,ethnic,3,0,0,0.66,0,2,1,3,0.8996,1
neutral,oval,ethnic,3,1,0,0.19,0,2,5,3,0.7403,0
neutral,apple,party,3,0,0,0.88,1,2,4,2,0.7434,0
warm,pear,party,3,0,0,0.19,1,0,2,2,0.7594,1
warm,hourglass,casual,3,0,1,0.1,1,0,0,0,0.99,1
cool,apple,casual,5,1,0,0.21,0,1,4,0,0.7916,1
cool,inverted_triangle,sports,3,0,0,0.68,0,1,1,4,0.8149,1
warm,apple,party,5,1,0,0.77,1,0,4,2,0.6737,0
cool,oval,ethnic,5,0,1,0.47,1,1,5,3,0.758,1
cool,inverted_triangle,party,4,1,1,0.67,1,1,1,2,0.8318,1
warm,oval,party,5,0,1,0.43,0,0,5,2,0.8168,1
cool,apple,ethnic,5,0,0,0.35,0,1,4,3,0.8444,1
neutral,rectangle,formal,3,1,0,0.28,1,2,3,1,0.771,1
cool,pear,party,5,0,1,0.43,0,1,2,2,0.9594,1
neutral,rectangle,ethnic,5,0,0,0.84,0,2,3,3,0.8464,1
cool,oval,casual,3,1,1,0.2,1,1,5,0,0.7837,1
neutral,rectangle,casual,4,1,0,0.12,1,2,3,0,0.8164,1
cool,oval,sports,4,1,1,0.41,0,1,5,4,0.6539,0
warm,apple,sports,5,1,1,0.12,0,0,4,4,0.6991,0
warm,rectangle,formal,4,0,0,0.53,0,0,3,1,0.759,1
cool,hourglass,formal,3,0,1,0.64,0,1,0,1,0.99,1
warm,apple,formal,3,1,0,0.78,0,0,4,1,0.7821,1
warm,apple,formal,4,0,0,0.49,0,0,4,1,0.7974,1
cool,hourglass,party,3,0,1,0.75,1,1,0,2,0.8208,1
neutral,inverted_triangle,casual,4,1,1,0.37,0,2,1,0,0.8404,1
warm,oval,formal,5,1,1,0.47,1,0,5,1,0.7641,1
warm,inverted_triangle,party,4,1,0,0.19,1,0,1,2,0.99,1
neutral,inverted_triangle,formal,5,1,0,0.77,1,2,1,1,0.8857,1
neutral,oval,casual,4,0,1,0.38,1,2,5,0,0.786,1
cool,inverted_triangle,party,3,1,0,0.86,0,1,1,2,0.8616,1
neutral,hourglass,party,4,0,0,0.74,0,2,0,2,0.7748,1
cool,pear,casual,4,0,0,0.32,0,1,2,0,0.6956,0
neutral,pear,party,3,0,1,0.43,0,2,2,2,0.7555,1
cool,apple,casual,5,1,0,0.63,0,1,4,0,0.6572,0
neutral,oval,party,4,0,1,0.46,0,2,5,2,0.738,0
cool,hourglass,ethnic,5,1,1,0.24,0,1,0,3,0.773,1
neutral,hourglass,party,3,0,1,0.88,0,2,0,2,0.7498,0
warm,oval,sports,4,0,1,0.64,1,0,5,4,0.7807,1
cool,hourglass,formal,3,0,1,0.59,0,1,0,1,0.99,1
warm,inverted_triangle,ethnic,5,0,0,0.48,1,0,1,3,0.7767,1
neutral,hourglass,ethnic,3,0,1,0.47,0,2,0,3,0.7643,1
cool,oval,formal,4,1,1,0.64,1,1,5,1,0.7082,0
cool,pear,ethnic,3,0,0,0.54,0,1,2,3,0.7162,0
cool,hourglass,ethnic,5,0,1,0.28,1,1,0,3,0.8759,1
cool,apple,party,5,1,0,0.73,1,1,4,2,0.7295,0
warm,apple,formal,4,1,1,0.65,0,0,4,1,0.7799,1
cool,pear,casual,4,0,1,0.17,1,1,2,0,0.733,0
warm,rectangle,sports,5,0,1,0.22,0,0,3,4,0.7737,1
warm,hourglass,ethnic,4,0,1,0.15,1,0,0,3,0.8512,1
neutral,oval,formal,3,0,1,0.38,0,2,5,1,0.7926,1
cool,hourglass,sports,3,1,1,0.87,0,1,0,4,0.8209,1
neutral,hourglass,ethnic,5,0,0,0.6,0,2,0,3,0.8889,1
neutral,apple,casual,4,0,1,0.68,0,2,4,0,0.7111,0
cool,rectangle,formal,5,0,1,0.12,0,1,3,1,0.731,0
cool,rectangle,ethnic,5,1,1,0.22,0,1,3,3,0.8556,1
neutral,hourglass,party,4,0,1,0.55,1,2,0,2,0.8582,1
neutral,oval,casual,4,0,1,0.26,1,2,5,0,0.8008,1
cool,oval,sports,4,0,1,0.34,0,1,5,4,0.7794,1
cool,pear,casual,3,1,1,0.49,0,1,2,0,0.8165,1
cool,inverted_triangle,ethnic,3,0,0,0.15,0,1,1,3,0.879,1
cool,pear,party,5,0,0,0.15,0,1,2,2,0.9428,1
cool,apple,casual,3,0,0,0.22,0,1,4,0,0.8,1
neutral,inverted_triangle,sports,3,1,0,0.5,0,2,1,4,0.7612,1
neutral,pear,ethnic,4,0,0,0.25,1,2,2,3,0.7757,1
warm,inverted_triangle,casual,3,0,0,0.12,0,0,1,0,0.9884,1
warm,hourglass,sports,3,0,1,0.82,1,0,0,4,0.7065,0
neutral,hourglass,ethnic,4,0,1,0.17,0,2,0,3,0.8339,1
warm,hourglass,party,3,0,0,0.63,0,0,0,2,0.7557,1
cool,oval,ethnic,3,0,0,0.15,0,1,5,3,0.7429,0
neutral,inverted_triangle,party,5,0,1,0.51,1,2,1,2,0.7844,1
cool,oval,sports,5,1,1,0.69,1,1,5,4,0.7706,1
warm,apple,formal,3,0,0,0.49,1,0,4,1,0.6821,0
cool,inverted_triangle,formal,3,1,1,0.54,0,1,1,1,0.7364,0
cool,rectangle,party,3,1,1,0.47,0,1,3,2,0.7638,1
cool,rectangle,casual,3,0,1,0.56,0,1,3,0,0.6917,0
cool,inverted_triangle,casual,3,0,1,0.23,0,1,1,0,0.9215,1
neutral,rectangle,casual,5,0,0,0.6,0,2,3,0,0.8648,1
neutral,rectangle,sports,3,1,0,0.89,1,2,3,4,0.7329,0
warm,hourglass,sports,5,0,0,0.86,0,0,0,4,0.8111,1
neutral,rectangle,sports,5,0,0,0.19,0,2,3,4,0.7061,0
warm,hourglass,sports,4,0,0,0.42,0,0,0,4,0.8429,1
warm,rectangle,sports,3,1,1,0.57,1,0,3,4,0.7542,1
cool,oval,sports,3,0,1,0.33,0,1,5,4,0.6734,0
neutral,pear,party,4,1,0,0.52,0,2,2,2,0.7848,1
cool,rectangle,formal,5,1,1,0.11,0,1,3,1,0.8491,1
warm,apple,casual,5,1,0,0.35,0,0,4,0,0.7756,1
warm,apple,sports,3,0,0,0.45,0,0,4,4,0.7696,1
cool,oval,ethnic,4,1,1,0.73,0,1,5,3,0.7041,0
cool,inverted_triangle,ethnic,3,1,1,0.47,0,1,1,3,0.763,1
warm,inverted_triangle,party,4,1,0,0.46,0,0,1,2,0.9574,1
neutral,oval,ethnic,4,1,1,0.59,1,2,5,3,0.8496,1
warm,apple,ethnic,5,1,1,0.18,1,0,4,3,0.7703,1
cool,apple,sports,5,0,1,0.35,0,1,4,4,0.644,0
warm,oval,party,4,0,1,0.14,1,0,5,2,0.7719,1
cool,inverted_triangle,sports,5,1,1,0.46,0,1,1,4,0.8008,1
neutral,inverted_triangle,party,3,0,0,0.13,1,2,1,2,0.7389,0
neutral,rectangle,party,4,0,0,0.74,1,2,3,2,0.7862,1
neutral,apple,ethnic,4,1,1,0.75,1,2,4,3,0.7849,1
neutral,rectangle,party,5,0,1,0.73,1,2,3,2,0.7434,0
neutral,hourglass,formal,4,1,0,0.71,0,2,0,1,0.9735,1
warm,oval,ethnic,5,1,1,0.32,1,0,5,3,0.7529,1
warm,pear,formal,4,1,0,0.6,0,0,2,1,0.743,0
warm,inverted_triangle,ethnic,4,1,1,0.54,0,0,1,3,0.7701,1
cool,pear,casual,5,1,1,0.7,0,1,2,0,0.7464,0
warm,inverted_triangle,party,3,1,1,0.63,0,0,1,2,0.9441,1
neutral,hourglass,casual,3,1,1,0.58,0,2,0,0,0.8236,1
cool,apple,party,5,0,0,0.35,0,1,4,2,0.7857,1
cool,oval,formal,5,1,1,0.83,1,1,5,1,0.7156,0
cool,apple,formal,5,0,1,0.21,0,1,4,1,0.7537,1
neutral,rectangle,sports,5,1,0,0.39,1,2,3,4,0.747,0
neutral,rectangle,ethnic,5,0,1,0.87,0,2,3,3,0.7633,1
warm,hourglass,casual,4,0,1,0.32,0,0,0,0,0.99,1
warm,apple,party,4,0,1,0.59,0,0,4,2,0.7477,0
warm,hourglass,casual,3,0,0,0.45,0,0,0,0,0.99,1
cool,hourglass,casual,3,0,1,0.35,0,1,0,0,0.8258,1
neutral,rectangle,formal,5,0,0,0.52,1,2,3,1,0.8028,1
cool,hourglass,ethnic,4,0,1,0.39,0,1,0,3,0.832,1
neutral,hourglass,formal,5,0,1,0.29,1,2,0,1,0.99,1
neutral,inverted_triangle,sports,4,0,1,0.55,0,2,1,4,0.7059,0
cool,rectangle,casual,3,0,1,0.81,0,1,3,0,0.6697,0
neutral,inverted_triangle,sports,4,0,0,0.38,1,2,1,4,0.7963,1
cool,rectangle,party,4,0,1,0.86,0,1,3,2,0.7911,1
warm,oval,formal,3,1,1,0.66,0,0,5,1,0.7085,0
warm,hourglass,casual,3,0,1,0.55,0,0,0,0,0.9415,1
neutral,rectangle,formal,3,0,0,0.46,0,2,3,1,0.7063,0
warm,inverted_triangle,formal,3,0,1,0.32,0,0,1,1,0.9358,1
warm,apple,formal,4,0,0,0.45,0,0,4,1,0.8236,1
cool,apple,sports,3,0,0,0.36,0,1,4,4,0.678,0
cool,rectangle,ethnic,4,0,1,0.19,0,1,3,3,0.839,1
neutral,hourglass,casual,4,0,1,0.39,0,2,0,0,0.7127,0
cool,hourglass,ethnic,5,0,1,0.83,0,1,0,3,0.7811,1
neutral,pear,ethnic,3,0,0,0.22,0,2,2,3,0.7167,0
warm,pear,sports,5,1,1,0.65,0,0,2,4,0.663,0
cool,rectangle,sports,5,0,0,0.8,0,1,3,4,0.6598,0
neutral,pear,casual,3,0,0,0.81,1,2,2,0,0.6734,0
warm,oval,party,5,0,0,0.61,0,0,5,2,0.7945,1
cool,inverted_triangle,casual,5,0,0,0.14,0,1,1,0,0.99,1
neutral,oval,sports,4,0,0,0.62,0,2,5,4,0.7682,1
warm,hourglass,casual,4,0,1,0.83,1,0,0,0,0.99,1
cool,hourglass,casual,4,0,1,0.56,0,1,0,0,0.8266,1
warm,oval,formal,5,1,1,0.52,0,0,5,1,0.8335,1
warm,hourglass,ethnic,4,0,0,0.68,0,0,0,3,0.8146,1
neutral,apple,sports,5,1,1,0.5,1,2,4,4,0.7294,0
warm,inverted_triangle,sports,3,1,1,0.31,1,0,1,4,0.7991,1
neutral,inverted_triangle,formal,4,0,1,0.34,0,2,1,1,0.8713,1
warm,apple,formal,5,0,1,0.86,0,0,4,1,0.6862,0
cool,hourglass,ethnic,5,1,0,0.57,0,1,0,3,0.771,1
neutral,hourglass,sports,3,0,1,0.54,0,2,0,4,0.8019,1
neutral,pear,casual,5,0,1,0.18,1,2,2,0,0.6987,0
warm,pear,sports,3,0,0,0.19,1,0,2,4,0.7814,1
neutral,oval,party,5,0,1,0.5,0,2,5,2,0.7639,1
neutral,inverted_triangle,casual,5,1,0,0.86,0,2,1,0,0.8081,1
warm,inverted_triangle,party,5,0,1,0.34,1,0,1,2,0.99,1
cool,apple,party,3,0,0,0.79,0,1,4,2,0.7359,0
neutral,inverted_triangle,ethnic,4,0,1,0.13,0,2,1,3,0.7587,1
warm,inverted_triangle,ethnic,5,0,0,0.88,1,0,1,3,0.7944,1
warm,rectangle,ethnic,3,0,0,0.78,0,0,3,3,0.8411,1
neutral,oval,sports,5,1,1,0.53,1,2,5,4,0.6739,0
warm,rectangle,ethnic,3,0,0,0.21,0,0,3,3,0.7892,1
warm,oval,ethnic,5,0,1,0.37,1,0,5,3,0.8436,1
cool,hourglass,sports,3,0,0,0.16,0,1,0,4,0.693,0
cool,rectangle,ethnic,3,1,1,0.65,0,1,3,3,0.7502,1
neutral,inverted_triangle,formal,3,0,0,0.79,1,2,1,1,0.7997,1
cool,rectangle,party,4,1,1,0.43,0,1,3,2,0.7603,1
cool,rectangle,sports,5,0,1,0.65,0,1,3,4,0.7257,0
neutral,rectangle,sports,3,1,0,0.4,1,2,3,4,0.6551,0
cool,rectangle,party,5,1,1,0.62,0,1,3,2,0.7863,1
cool,rectangle,casual,5,0,0,0.49,0,1,3,0,0.7076,0
cool,rectangle,party,3,0,1,0.84,1,1,3,2,0.6898,0
warm,rectangle,formal,4,1,0,0.57,0,0,3,1,0.8153,1
cool,apple,sports,5,0,1,0.49,0,1,4,4,0.7195,0
cool,oval,sports,3,0,0,0.63,1,1,5,4,0.7139,0
warm,hourglass,sports,4,1,1,0.69,0,0,0,4,0.7307,0
neutral,hourglass,sports,3,1,0,0.32,1,2,0,4,0.7367,0
neutral,hourglass,ethnic,5,0,1,0.21,0,2,0,3,0.8444,1
warm,rectangle,ethnic,4,0,1,0.14,0,0,3,3,0.8138,1
neutral,pear,ethnic,3,1,1,0.55,0,2,2,3,0.8061,1
cool,pear,ethnic,3,1,0,0.16,0,1,2,3,0.7726,1
warm,rectangle,formal,3,0,0,0.69,1,0,3,1,0.7064,0
neutral,rectangle,casual,5,0,1,0.89,1,2,3,0,0.9248,1
warm,rectangle,party,3,1,0,0.87,0,0,3,2,0.7532,1
neutral,rectangle,ethnic,4,0,1,0.32,0,2,3,3,0.7296,0
neutral,inverted_triangle,sports,5,0,0,0.28,1,2,1,4,0.7221,0
cool,rectangle,party,4,0,1,0.65,0,1,3,2,0.7486,0
cool,hourglass,party,5,0,0,0.18,1,1,0,2,0.7509,1
neutral,oval,casual,5,0,0,0.6,1,2,5,0,0.7698,1
cool,rectangle,casual,3,1,0,0.75,0,1,3,0,0.8138,1
neutral,hourglass,ethnic,3,0,1,0.5,0,2,0,3,0.8297,1
warm,pear,sports,4,0,1,0.22,1,0,2,4,0.7684,1
cool,hourglass,formal,3,1,1,0.68,0,1,0,1,0.99,1
warm,rectangle,sports,4,0,0,0.15,0,0,3,4,0.6603,0
neutral,hourglass,formal,4,0,1,0.86,0,2,0,1,0.9567,1
cool,rectangle,casual,5,0,1,0.24,0,1,3,0,0.8056,1
neutral,apple,party,3,1,0,0.41,1,2,4,2,0.7471,0
cool,inverted_triangle,formal,5,1,1,0.59,1,1,1,1,0.7909,1
warm,inverted_triangle,ethnic,5,0,1,0.58,1,0,1,3,0.8844,1
neutral,pear,formal,5,1,0,0.14,1,2,2,1,0.7046,0
neutral,inverted_triangle,ethnic,3,0,1,0.18,0,2,1,3,0.8012,1
warm,hourglass,casual,4,0,0,0.54,0,0,0,0,0.99,1
cool,inverted_triangle,ethnic,4,1,1,0.24,0,1,1,3,0.8071,1
neutral,pear,formal,5,1,1,0.87,0,2,2,1,0.7394,0
warm,hourglass,party,4,1,0,0.6,1,0,0,2,0.7877,1
neutral,pear,sports,5,1,1,0.15,0,2,2,4,0.6821,0
neutral,rectangle,formal,3,1,1,0.77,0,2,3,1,0.748,0
neutral,hourglass,party,4,0,1,0.89,0,2,0,2,0.8237,1
cool,rectangle,casual,5,0,0,0.82,0,1,3,0,0.7729,1
warm,oval,formal,5,0,1,0.64,0,0,5,1,0.7404,0
cool,apple,sports,5,1,1,0.2,0,1,4,4,0.7629,1
warm,oval,ethnic,5,1,1,0.76,0,0,5,3,0.7406,0
warm,apple,ethnic,5,0,0,0.43,0,0,4,3,0.7548,1
warm,oval,casual,5,1,1,0.41,0,0,5,0,0.8016,1
neutral,apple,sports,5,1,0,0.74,0,2,4,4,0.7811,1
neutral,hourglass,formal,5,0,1,0.58,1,2,0,1,0.99,1
cool,hourglass,casual,3,1,1,0.64,0,1,0,0,0.8641,1
warm,apple,party,5,0,1,0.42,0,0,4,2,0.6831,0
warm,oval,ethnic,3,1,1,0.2,0,0,5,3,0.7862,1
cool,pear,casual,3,0,0,0.22,0,1,2,0,0.7463,0
cool,inverted_triangle,ethnic,3,1,1,0.22,1,1,1,3,0.7897,1
cool,pear,formal,5,1,0,0.31,0,1,2,1,0.7405,0
warm,inverted_triangle,ethnic,3,1,0,0.48,0,0,1,3,0.8234,1
neutral,hourglass,casual,3,0,1,0.62,0,2,0,0,0.7411,0
cool,rectangle,sports,5,0,1,0.73,1,1,3,4,0.7574,1
warm,rectangle,sports,4,1,1,0.41,0,0,3,4,0.7382,0
neutral,oval,sports,5,1,1,0.75,1,2,5,4,0.7941,1
neutral,pear,sports,4,1,0,0.17,0,2,2,4,0.7639,1
neutral,apple,casual,4,0,0,0.6,0,2,4,0,0.7717,1
cool,hourglass,ethnic,3,0,1,0.48,0,1,0,3,0.8323,1
neutral,oval,sports,4,1,1,0.6,0,2,5,4,0.7042,0
cool,rectangle,formal,4,1,1,0.7,1,1,3,1,0.7105,0
cool,oval,party,3,0,0,0.64,0,1,5,2,0.7426,0
neutral,inverted_triangle,formal,3,0,0,0.11,0,2,1,1,0.7416,0
neutral,pear,formal,5,1,0,0.27,0,2,2,1,0.7493,0
cool,hourglass,casual,4,1,0,0.56,0,1,0,0,0.8533,1
warm,pear,casual,5,0,1,0.54,0,0,2,0,0.8521,1
neutral,rectangle,party,4,0,1,0.33,1,2,3,2,0.6801,0
warm,inverted_triangle,formal,4,1,0,0.67,0,0,1,1,0.99,1
warm,hourglass,sports,3,0,1,0.43,0,0,0,4,0.733,0
cool,pear,casual,4,0,1,0.31,1,1,2,0,0.7234,0
warm,inverted_triangle,ethnic,3,0,1,0.57,0,0,1,3,0.8178,1
warm,pear,ethnic,3,0,1,0.24,0,0,2,3,0.8681,1
cool,oval,sports,5,0,1,0.5,1,1,5,4,0.6999,0
cool,pear,casual,5,1,1,0.26,1,1,2,0,0.7255,0
neutral,inverted_triangle,casual,3,0,0,0.44,0,2,1,0,0.7576,1
cool,pear,party,3,1,0,0.5,0,1,2,2,0.9576,1
cool,pear,formal,4,1,1,0.4,0,1,2,1,0.7295,0
neutral,inverted_triangle,sports,5,0,1,0.42,0,2,1,4,0.8066,1
cool,inverted_triangle,ethnic,5,0,0,0.59,0,1,1,3,0.8054,1
warm,rectangle,ethnic,5,1,1,0.11,0,0,3,3,0.762,1
cool,inverted_triangle,ethnic,4,0,1,0.52,0,1,1,3,0.7468,0
warm,rectangle,formal,5,1,0,0.12,0,0,3,1,0.8269,1
cool,pear,party,3,1,0,0.72,0,1,2,2,0.9349,1
cool,inverted_triangle,sports,5,1,0,0.81,1,1,1,4,0.7944,1
warm,inverted_triangle,party,3,1,0,0.62,0,0,1,2,0.9743,1
cool,rectangle,sports,4,1,1,0.47,0,1,3,4,0.6702,0
cool,rectangle,casual,3,1,1,0.11,1,1,3,0,0.7955,1
warm,rectangle,party,4,0,0,0.82,0,0,3,2,0.7198,0
cool,pear,casual,4,1,1,0.74,0,1,2,0,0.7477,0
warm,oval,casual,3,1,1,0.78,0,0,5,0,0.7292,0
warm,oval,casual,4,1,1,0.71,0,0,5,0,0.6951,0
neutral,oval,ethnic,5,0,0,0.49,1,2,5,3,0.7243,0
cool,apple,ethnic,3,0,0,0.5,0,1,4,3,0.7219,0
cool,rectangle,party,4,0,1,0.78,1,1,3,2,0.7021,0
neutral,hourglass,ethnic,5,0,1,0.3,0,2,0,3,0.7685,1
cool,hourglass,sports,4,0,0,0.26,1,1,0,4,0.8091,1
neutral,hourglass,ethnic,4,1,1,0.2,0,2,0,3,0.7724,1
cool,apple,sports,3,0,1,0.34,0,1,4,4,0.701,0
neutral,inverted_triangle,casual,4,0,0,0.29,0,2,1,0,0.8297,1
neutral,oval,sports,5,0,1,0.8,1,2,5,4,0.6462,0
neutral,apple,sports,3,0,1,0.1,1,2,4,4,0.7558,1
warm,oval,party,5,1,1,0.59,0,0,5,2,0.7283,0
warm,inverted_triangle,casual,4,1,0,0.49,0,0,1,0,0.9244,1
cool,hourglass,ethnic,3,0,0,0.62,1,1,0,3,0.7764,1
warm,hourglass,sports,4,0,0,0.59,0,0,0,4,0.6993,0
neutral,oval,party,5,0,0,0.69,0,2,5,2,0.718,0
warm,rectangle,casual,3,0,1,0.86,0,0,3,0,0.8957,1
warm,pear,casual,3,0,1,0.3,1,0,2,0,0.8797,1
warm,oval,party,4,0,0,0.44,0,0,5,2,0.7096,0
cool,oval,formal,5,0,0,0.26,0,1,5,1,0.779,1
warm,oval,ethnic,3,1,1,0.61,0,0,5,3,0.7485,0
warm,pear,formal,3,1,0,0.11,0,0,2,1,0.8154,1
neutral,rectangle,ethnic,5,0,1,0.13,0,2,3,3,0.8014,1
warm,hourglass,ethnic,3,0,1,0.49,1,0,0,3,0.8707,1
warm,inverted_triangle,casual,3,0,0,0.74,0,0,1,0,0.9197,1
cool,inverted_triangle,ethnic,5,1,1,0.79,0,1,1,3,0.7541,1
cool,apple,formal,5,0,0,0.48,0,1,4,1,0.6986,0
cool,oval,formal,3,0,1,0.22,0,1,5,1,0.7906,1
cool,hourglass,party,3,0,0,0.13,0,1,0,2,0.831,1
cool,inverted_triangle,casual,3,0,0,0.46,0,1,1,0,0.8724,1
cool,oval,casual,3,1,1,0.39,0,1,5,0,0.662,0
neutral,rectangle,sports,4,0,1,0.12,0,2,3,4,0.716,0
cool,rectangle,casual,3,1,1,0.26,0,1,3,0,0.7044,0
cool,inverted_triangle,formal,3,0,1,0.32,1,1,1,1,0.8361,1
warm,hourglass,casual,4,0,1,0.84,0,0,0,0,0.99,1
warm,oval,party,3,1,1,0.42,0,0,5,2,0.6874,0
neutral,oval,ethnic,4,0,1,0.5,1,2,5,3,0.7524,1
warm,hourglass,sports,4,0,0,0.87,1,0,0,4,0.7105,0
neutral,rectangle,casual,4,1,0,0.72,1,2,3,0,0.8211,1
warm,hourglass,sports,4,1,0,0.88,1,0,0,4,0.7085,0
neutral,rectangle,sports,3,0,1,0.71,0,2,3,4,0.6511,0
cool,rectangle,casual,3,1,1,0.87,0,1,3,0,0.6879,0
cool,rectangle,casual,5,0,1,0.66,0,1,3,0,0.67,0
neutral,pear,party,5,0,1,0.34,1,2,2,2,0.8265,1
warm,oval,casual,5,0,0,0.44,1,0,5,0,0.7261,0
neutral,hourglass,party,5,0,1,0.52,1,2,0,2,0.8633,1
neutral,hourglass,ethnic,4,1,1,0.79,0,2,0,3,0.8484,1
neutral,apple,party,3,1,0,0.28,0,2,4,2,0.7618,1
cool,inverted_triangle,party,3,0,0,0.74,1,1,1,2,0.761,1
cool,rectangle,casual,3,0,1,0.59,0,1,3,0,0.6716,0
cool,oval,sports,5,1,1,0.14,0,1,5,4,0.7487,0
cool,hourglass,party,4,1,1,0.68,0,1,0,2,0.7757,1
neutral,oval,sports,5,1,1,0.57,1,2,5,4,0.7275,0
warm,inverted_triangle,ethnic,5,0,1,0.48,0,0,1,3,0.8697,1
cool,oval,formal,4,0,0,0.25,1,1,5,1,0.7081,0
warm,hourglass,casual,4,1,0,0.63,1,0,0,0,0.99,1
cool,apple,casual,5,0,0,0.83,0,1,4,0,0.6838,0
cool,oval,casual,5,1,1,0.39,1,1,5,0,0.7302,0
warm,apple,sports,5,1,0,0.14,0,0,4,4,0.75,1
warm,oval,ethnic,4,0,0,0.12,1,0,5,3,0.7313,0
warm,apple,sports,3,0,0,0.76,0,0,4,4,0.7602,1
warm,apple,casual,5,0,1,0.69,1,0,4,0,0.7472,0
cool,rectangle,party,3,0,1,0.16,0,1,3,2,0.7359,0
neutral,inverted_triangle,ethnic,3,0,1,0.71,0,2,1,3,0.7506,1
neutral,pear,formal,5,0,0,0.17,0,2,2,1,0.7905,1
cool,inverted_triangle,party,5,1,1,0.57,0,1,1,2,0.8494,1
warm,inverted_triangle,sports,5,0,1,0.22,0,0,1,4,0.6875,0
neutral,rectangle,party,4,1,1,0.7,1,2,3,2,0.8226,1
neutral,inverted_triangle,sports,5,1,0,0.15,0,2,1,4,0.759,1
