r,g,b,brightness,r_g_diff,r_b_diff,g_b_diff,ita_angle,skin_class,skin_name,skin_label,undertone,best_colors
190,137,130,152.05,53,60,7,59.55,2,medium,Medium/Wheatish,warm,"Camel,Rust,Olive,Mustard,Terracotta"
203,174,132,177.88,29,71,42,60.96,1,light_medium,Light Medium,warm,"Camel,Rust,Olive,Mustard,Terracotta"
196,144,164,161.83,52,32,-20,74.03,1,light_medium,Light Medium,warm,"Camel,Rust,Olive,Mustard,Terracotta"
153,142,120,142.78,11,33,22,70.42,2,medium,Medium/Wheatish,warm,"Camel,Rust,Olive,Mustard,Terracotta"
228,211,190,213.69,17,38,21,76.93,0,light,Fair/Light,warm,"Camel,Rust,Olive,Mustard,Terracotta"
236,223,197,223.92,13,39,26,77.36,0,light,Fair/Light,warm,"Camel,Rust,Olive,Mustard,Terracotta"
74,52,55,58.92,22,19,-3,25.15,5,deep,Deep/Rich,neutral,"White,Black,Navy,Blush,Teal"
178,153,118,156.48,25,60,35,60.6,2,medium,Medium/Wheatish,warm,"Camel,Rust,Olive,Mustard,Terracotta"
150,117,68,121.28,33,82,49,41.0,3,medium_dark,Medium Dark,warm,"Camel,Rust,Olive,Mustard,Terracotta"
106,59,60,73.17,47,46,-1,26.73,4,dark,Dark/Deep Brown,warm,"Camel,Rust,Olive,Mustard,Terracotta"
232,224,199,223.54,8,33,25,79.23,0,light,Fair/Light,warm,"Camel,Rust,Olive,Mustard,Terracotta"
80,43,23,51.78,37,57,20,1.79,5,deep,Deep/Rich,warm,"Camel,Rust,Olive,Mustard,Terracotta"
40,56,55,51.1,-16,-15,1,4.19,5,deep,Deep/Rich,cool,"Navy,Emerald,Purple,Burgundy,Cobalt"
46,37,48,40.94,9,-2,-11,-77.55,5,deep,Deep/Rich,neutral,"White,Black,Navy,Blush,Teal"
238,183,162,197.05,55,76,21,62.67,0,light,Fair/Light,warm,"Camel,Rust,Olive,Mustard,Terracotta"
253,203,211,218.86,50,42,-8,76.03,0,light,Fair/Light,warm,"Camel,Rust,Olive,Mustard,Terracotta"
255,213,177,221.45,42,78,36,65.54,0,light,Fair/Light,warm,"Camel,Rust,Olive,Mustard,Terracotta"
152,118,107,126.91,34,45,11,59.67,3,medium_dark,Medium Dark,warm,"Camel,Rust,Olive,Mustard,Terracotta"
57,65,65,62.61,-8,-8,0,57.61,5,deep,Deep/Rich,neutral,"White,Black,Navy,Blush,Teal"
238,193,204,207.71,45,34,-11,77.83,0,light,Fair/Light,warm,"Camel,Rust,Olive,Mustard,Terracotta"
83,61,38,64.96,22,45,23,18.39,5,deep,Deep/Rich,warm,"Camel,Rust,Olive,Mustard,Terracotta"
68,41,47,49.76,27,21,-6,-0.65,5,deep,Deep/Rich,warm,"Camel,Rust,Olive,Mustard,Terracotta"
199,189,148,187.32,10,51,41,69.63,1,light_medium,Light Medium,warm,"Camel,Rust,Olive,Mustard,Terracotta"
46,37,45,40.6,9,1,-8,-83.93,5,deep,Deep/Rich,neutral,"White,Black,Navy,Blush,Teal"
42,28,25,31.84,14,17,3,-46.89,5,deep,Deep/Rich,neutral,"White,Black,Navy,Blush,Teal"
98,89,82,90.89,9,16,7,68.63,4,dark,Dark/Deep Brown,neutral,"White,Black,Navy,Blush,Teal"
131,64,69,84.6,67,62,-5,29.16,4,dark,Dark/Deep Brown,warm,"Camel,Rust,Olive,Mustard,Terracotta"
154,120,92,126.97,34,62,28,51.15,3,medium_dark,Medium Dark,warm,"Camel,Rust,Olive,Mustard,Terracotta"
166,119,116,132.71,47,50,3,58.85,2,medium,Medium/Wheatish,warm,"Camel,Rust,Olive,Mustard,Terracotta"
160,151,101,147.99,9,59,50,58.95,2,medium,Medium/Wheatish,warm,"Camel,Rust,Olive,Mustard,Terracotta"
234,176,192,195.17,58,42,-16,73.86,0,light,Fair/Light,warm,"Camel,Rust,Olive,Mustard,Terracotta"
223,169,174,185.72,54,49,-5,70.15,1,light_medium,Light Medium,warm,"Camel,Rust,Olive,Mustard,Terracotta"
88,42,32,54.61,46,56,10,4.71,5,deep,Deep/Rich,warm,"Camel,Rust,Olive,Mustard,Terracotta"
124,89,64,96.62,35,60,25,37.85,4,dark,Dark/Deep Brown,warm,"Camel,Rust,Olive,Mustard,Terracotta"
157,110,102,123.14,47,55,8,53.06,3,medium_dark,Medium Dark,warm,"Camel,Rust,Olive,Mustard,Terracotta"
202,149,96,158.8,53,106,53,45.75,2,medium,Medium/Wheatish,warm,"Camel,Rust,Olive,Mustard,Terracotta"
206,145,158,164.72,61,48,-13,67.3,1,light_medium,Light Medium,warm,"Camel,Rust,Olive,Mustard,Terracotta"
195,178,164,181.49,17,31,14,76.73,1,light_medium,Light Medium,warm,"Camel,Rust,Olive,Mustard,Terracotta"
239,190,204,206.25,49,35,-14,77.37,0,light,Fair/Light,warm,"Camel,Rust,Olive,Mustard,Terracotta"
106,73,55,80.82,33,51,18,31.15,4,dark,Dark/Deep Brown,warm,"Camel,Rust,Olive,Mustard,Terracotta"
176,119,124,136.61,57,52,-5,59.02,2,medium,Medium/Wheatish,warm,"Camel,Rust,Olive,Mustard,Terracotta"
154,100,79,113.75,54,75,21,40.36,3,medium_dark,Medium Dark,warm,"Camel,Rust,Olive,Mustard,Terracotta"
196,165,156,173.24,31,40,9,72.02,1,light_medium,Light Medium,warm,"Camel,Rust,Olive,Mustard,Terracotta"
51,51,31,48.72,0,20,20,-3.66,5,deep,Deep/Rich,neutral,"White,Black,Navy,Blush,Teal"
69,51,45,55.7,18,24,6,13.36,5,deep,Deep/Rich,warm,"Camel,Rust,Olive,Mustard,Terracotta"
146,108,84,116.63,38,62,24,47.06,3,medium_dark,Medium Dark,warm,"Camel,Rust,Olive,Mustard,Terracotta"
126,71,39,83.8,55,87,32,21.23,4,dark,Dark/Deep Brown,warm,"Camel,Rust,Olive,Mustard,Terracotta"
155,155,103,149.07,0,52,52,62.31,2,medium,Medium/Wheatish,warm,"Camel,Rust,Olive,Mustard,Terracotta"
137,76,43,90.48,61,94,33,23.3,4,dark,Dark/Deep Brown,warm,"Camel,Rust,Olive,Mustard,Terracotta"
190,166,134,169.53,24,56,32,64.9,1,light_medium,Light Medium,warm,"Camel,Rust,Olive,Mustard,Terracotta"
234,183,183,198.25,51,51,0,71.02,0,light,Fair/Light,warm,"Camel,Rust,Olive,Mustard,Terracotta"
214,178,183,189.33,36,31,-5,77.46,0,light,Fair/Light,warm,"Camel,Rust,Olive,Mustard,Terracotta"
165,137,97,140.81,28,68,40,53.17,2,medium,Medium/Wheatish,warm,"Camel,Rust,Olive,Mustard,Terracotta"
193,151,108,158.66,42,85,43,51.97,2,medium,Medium/Wheatish,warm,"Camel,Rust,Olive,Mustard,Terracotta"
113,94,71,97.06,19,42,23,48.25,4,dark,Dark/Deep Brown,warm,"Camel,Rust,Olive,Mustard,Terracotta"
192,180,155,180.74,12,37,25,74.2,1,light_medium,Light Medium,warm,"Camel,Rust,Olive,Mustard,Terracotta"
232,224,181,221.49,8,51,43,73.44,0,light,Fair/Light,warm,"Camel,Rust,Olive,Mustard,Terracotta"
180,128,135,144.35,52,45,-7,64.5,2,medium,Medium/Wheatish,warm,"Camel,Rust,Olive,Mustard,Terracotta"
132,121,76,119.16,11,56,45,51.0,3,medium_dark,Medium Dark,warm,"Camel,Rust,Olive,Mustard,Terracotta"
195,147,151,161.81,48,44,-4,68.52,1,light_medium,Light Medium,warm,"Camel,Rust,Olive,Mustard,Terracotta"
107,66,45,75.86,41,62,21,22.64,4,dark,Dark/Deep Brown,warm,"Camel,Rust,Olive,Mustard,Terracotta"
168,103,115,123.8,65,53,-12,54.32,3,medium_dark,Medium Dark,warm,"Camel,Rust,Olive,Mustard,Terracotta"
195,183,141,181.8,12,54,42,67.72,1,light_medium,Light Medium,warm,"Camel,Rust,Olive,Mustard,Terracotta"
93,60,48,68.5,33,45,12,22.35,5,deep,Deep/Rich,warm,"Camel,Rust,Olive,Mustard,Terracotta"
162,134,78,135.99,28,84,56,45.67,3,medium_dark,Medium Dark,warm,"Camel,Rust,Olive,Mustard,Terracotta"
247,216,173,220.37,31,74,43,66.52,0,light,Fair/Light,warm,"Camel,Rust,Olive,Mustard,Terracotta"
215,194,189,199.71,21,26,5,80.15,0,light,Fair/Light,warm,"Camel,Rust,Olive,Mustard,Terracotta"
249,224,208,229.65,25,41,16,77.14,0,light,Fair/Light,warm,"Camel,Rust,Olive,Mustard,Terracotta"
74,35,19,44.84,39,55,16,-5.36,5,deep,Deep/Rich,warm,"Camel,Rust,Olive,Mustard,Terracotta"
138,115,112,121.54,23,26,3,70.03,3,medium_dark,Medium Dark,warm,"Camel,Rust,Olive,Mustard,Terracotta"
186,157,123,161.79,29,63,34,60.6,2,medium,Medium/Wheatish,warm,"Camel,Rust,Olive,Mustard,Terracotta"
192,150,127,159.94,42,65,23,59.41,1,light_medium,Light Medium,warm,"Camel,Rust,Olive,Mustard,Terracotta"
71,33,49,46.19,38,22,-16,-9.83,5,deep,Deep/Rich,warm,"Camel,Rust,Olive,Mustard,Terracotta"
67,59,27,57.74,8,40,32,10.95,5,deep,Deep/Rich,warm,"Camel,Rust,Olive,Mustard,Terracotta"
119,73,46,83.68,46,73,27,24.77,4,dark,Dark/Deep Brown,warm,"Camel,Rust,Olive,Mustard,Terracotta"
214,211,211,211.9,3,3,0,88.94,0,light,Fair/Light,neutral,"White,Black,Navy,Blush,Teal"
180,118,128,137.68,62,52,-10,59.33,2,medium,Medium/Wheatish,warm,"Camel,Rust,Olive,Mustard,Terracotta"
208,193,211,199.54,15,-3,-18,88.85,0,light,Fair/Light,neutral,"White,Black,Navy,Blush,Teal"
236,198,186,207.99,38,50,12,72.44,0,light,Fair/Light,warm,"Camel,Rust,Olive,Mustard,Terracotta"
193,165,154,172.12,28,39,11,72.29,1,light_medium,Light Medium,warm,"Camel,Rust,Olive,Mustard,Terracotta"
185,135,136,150.06,50,49,-1,63.91,2,medium,Medium/Wheatish,warm,"Camel,Rust,Olive,Mustard,Terracotta"
65,66,49,63.76,-1,16,17,40.7,5,deep,Deep/Rich,neutral,"White,Black,Navy,Blush,Teal"
221,203,165,204.05,18,56,38,70.02,0,light,Fair/Light,warm,"Camel,Rust,Olive,Mustard,Terracotta"
228,206,200,211.89,22,28,6,80.19,0,light,Fair/Light,warm,"Camel,Rust,Olive,Mustard,Terracotta"
189,133,104,146.44,56,85,29,48.61,2,medium,Medium/Wheatish,warm,"Camel,Rust,Olive,Mustard,Terracotta"
117,87,71,94.15,30,46,16,43.82,4,dark,Dark/Deep Brown,warm,"Camel,Rust,Olive,Mustard,Terracotta"
180,137,107,146.44,43,73,30,52.88,2,medium,Medium/Wheatish,warm,"Camel,Rust,Olive,Mustard,Terracotta"
88,84,56,82.0,4,32,28,45.0,4,dark,Dark/Deep Brown,warm,"Camel,Rust,Olive,Mustard,Terracotta"
212,190,162,193.39,22,50,28,70.78,0,light,Fair/Light,warm,"Camel,Rust,Olive,Mustard,Terracotta"
255,216,183,223.9,39,72,33,67.51,0,light,Fair/Light,warm,"Camel,Rust,Olive,Mustard,Terracotta"
186,134,106,146.36,52,80,28,50.3,2,medium,Medium/Wheatish,warm,"Camel,Rust,Olive,Mustard,Terracotta"
225,162,121,176.16,63,104,41,50.5,1,light_medium,Light Medium,warm,"Camel,Rust,Olive,Mustard,Terracotta"
203,186,203,193.02,17,0,-17,89.6,0,light,Fair/Light,neutral,"White,Black,Navy,Blush,Teal"
211,220,188,213.66,-9,23,32,82.0,0,light,Fair/Light,warm,"Camel,Rust,Olive,Mustard,Terracotta"
102,88,51,87.97,14,51,37,36.67,4,dark,Dark/Deep Brown,warm,"Camel,Rust,Olive,Mustard,Terracotta"
184,154,115,158.52,30,69,39,57.55,2,medium,Medium/Wheatish,warm,"Camel,Rust,Olive,Mustard,Terracotta"
128,80,46,90.48,48,82,34,26.27,4,dark,Dark/Deep Brown,warm,"Camel,Rust,Olive,Mustard,Terracotta"
248,210,179,217.83,38,69,31,67.65,0,light,Fair/Light,warm,"Camel,Rust,Olive,Mustard,Terracotta"
213,156,132,170.31,57,81,24,56.05,1,light_medium,Light Medium,warm,"Camel,Rust,Olive,Mustard,Terracotta"
60,73,35,64.78,-13,25,38,30.59,5,deep,Deep/Rich,warm,"Camel,Rust,Olive,Mustard,Terracotta"
182,134,90,143.34,48,92,44,45.41,2,medium,Medium/Wheatish,warm,"Camel,Rust,Olive,Mustard,Terracotta"
121,82,62,91.38,39,59,20,35.04,4,dark,Dark/Deep Brown,warm,"Camel,Rust,Olive,Mustard,Terracotta"
75,52,60,59.79,23,15,-8,33.13,5,deep,Deep/Rich,neutral,"White,Black,Navy,Blush,Teal"
242,231,184,228.93,11,58,47,72.04,0,light,Fair/Light,warm,"Camel,Rust,Olive,Mustard,Terracotta"
213,187,166,192.38,26,47,21,71.73,0,light,Fair/Light,warm,"Camel,Rust,Olive,Mustard,Terracotta"
129,100,57,103.77,29,72,43,36.75,4,dark,Dark/Deep Brown,warm,"Camel,Rust,Olive,Mustard,Terracotta"
146,125,74,125.46,21,72,51,46.34,3,medium_dark,Medium Dark,warm,"Camel,Rust,Olive,Mustard,Terracotta"
172,120,131,136.8,52,41,-11,64.72,2,medium,Medium/Wheatish,warm,"Camel,Rust,Olive,Mustard,Terracotta"
125,92,44,96.4,33,81,48,29.81,4,dark,Dark/Deep Brown,warm,"Camel,Rust,Olive,Mustard,Terracotta"
75,39,40,49.88,36,35,-1,-0.2,5,deep,Deep/Rich,warm,"Camel,Rust,Olive,Mustard,Terracotta"
200,141,120,156.25,59,80,21,53.02,2,medium,Medium/Wheatish,warm,"Camel,Rust,Olive,Mustard,Terracotta"
213,205,174,203.86,8,39,31,75.78,0,light,Fair/Light,warm,"Camel,Rust,Olive,Mustard,Terracotta"
47,52,30,48.0,-5,17,22,-6.71,5,deep,Deep/Rich,neutral,"White,Black,Navy,Blush,Teal"
128,109,91,112.63,19,37,18,59.43,3,medium_dark,Medium Dark,warm,"Camel,Rust,Olive,Mustard,Terracotta"
170,137,125,145.5,33,45,12,64.77,2,medium,Medium/Wheatish,warm,"Camel,Rust,Olive,Mustard,Terracotta"
215,178,132,183.82,37,83,46,58.19,1,light_medium,Light Medium,warm,"Camel,Rust,Olive,Mustard,Terracotta"
212,202,208,205.67,10,4,-6,88.53,0,light,Fair/Light,neutral,"White,Black,Navy,Blush,Teal"
170,138,115,144.95,32,55,23,59.92,2,medium,Medium/Wheatish,warm,"Camel,Rust,Olive,Mustard,Terracotta"
131,130,72,123.69,1,59,58,51.32,3,medium_dark,Medium Dark,warm,"Camel,Rust,Olive,Mustard,Terracotta"
118,78,68,88.82,40,50,10,37.83,4,dark,Dark/Deep Brown,warm,"Camel,Rust,Olive,Mustard,Terracotta"
213,181,135,185.32,32,78,46,60.04,1,light_medium,Light Medium,warm,"Camel,Rust,Olive,Mustard,Terracotta"
177,194,135,182.19,-17,42,59,72.37,1,light_medium,Light Medium,warm,"Camel,Rust,Olive,Mustard,Terracotta"
213,151,130,167.14,62,83,21,54.68,1,light_medium,Light Medium,warm,"Camel,Rust,Olive,Mustard,Terracotta"
168,106,100,123.85,62,68,6,47.36,3,medium_dark,Medium Dark,warm,"Camel,Rust,Olive,Mustard,Terracotta"
106,102,73,99.89,4,33,29,56.52,4,dark,Dark/Deep Brown,warm,"Camel,Rust,Olive,Mustard,Terracotta"
104,85,48,86.46,19,56,37,33.07,4,dark,Dark/Deep Brown,warm,"Camel,Rust,Olive,Mustard,Terracotta"
122,88,49,93.72,34,73,39,30.92,4,dark,Dark/Deep Brown,warm,"Camel,Rust,Olive,Mustard,Terracotta"
55,48,41,49.29,7,14,7,-2.9,5,deep,Deep/Rich,neutral,"White,Black,Navy,Blush,Teal"
255,179,184,202.29,76,71,-5,65.0,0,light,Fair/Light,warm,"Camel,Rust,Olive,Mustard,Terracotta"
44,55,31,48.97,-11,13,24,-4.53,5,deep,Deep/Rich,neutral,"White,Black,Navy,Blush,Teal"
140,122,84,123.05,18,56,38,52.53,3,medium_dark,Medium Dark,warm,"Camel,Rust,Olive,Mustard,Terracotta"
205,174,123,177.46,31,82,51,57.25,1,light_medium,Light Medium,warm,"Camel,Rust,Olive,Mustard,Terracotta"
105,83,67,87.75,22,38,16,44.81,4,dark,Dark/Deep Brown,warm,"Camel,Rust,Olive,Mustard,Terracotta"
204,158,139,169.59,46,65,19,61.47,1,light_medium,Light Medium,warm,"Camel,Rust,Olive,Mustard,Terracotta"
182,133,96,143.43,49,86,37,47.37,2,medium,Medium/Wheatish,warm,"Camel,Rust,Olive,Mustard,Terracotta"
52,36,28,39.87,16,24,8,-22.88,5,deep,Deep/Rich,warm,"Camel,Rust,Olive,Mustard,Terracotta"
188,144,104,152.6,44,84,40,50.69,2,medium,Medium/Wheatish,warm,"Camel,Rust,Olive,Mustard,Terracotta"
158,111,81,121.63,47,77,30,42.93,3,medium_dark,Medium Dark,warm,"Camel,Rust,Olive,Mustard,Terracotta"
221,229,191,222.28,-8,30,38,80.12,0,light,Fair/Light,warm,"Camel,Rust,Olive,Mustard,Terracotta"
216,178,126,183.43,38,90,52,56.0,1,light_medium,Light Medium,warm,"Camel,Rust,Olive,Mustard,Terracotta"
191,153,111,159.57,38,80,42,53.87,2,medium,Medium/Wheatish,warm,"Camel,Rust,Olive,Mustard,Terracotta"
213,191,199,198.49,22,14,-8,84.61,0,light,Fair/Light,neutral,"White,Black,Navy,Blush,Teal"
69,55,33,56.68,14,36,22,10.51,5,deep,Deep/Rich,warm,"Camel,Rust,Olive,Mustard,Terracotta"
221,192,204,202.04,29,17,-12,83.62,0,light,Fair/Light,neutral,"White,Black,Navy,Blush,Teal"
206,173,163,181.73,33,43,10,71.92,1,light_medium,Light Medium,warm,"Camel,Rust,Olive,Mustard,Terracotta"
214,156,160,173.8,58,54,-4,66.43,1,light_medium,Light Medium,warm,"Camel,Rust,Olive,Mustard,Terracotta"
227,179,195,195.18,48,32,-16,77.57,0,light,Fair/Light,warm,"Camel,Rust,Olive,Mustard,Terracotta"
210,180,163,187.03,30,47,17,71.07,1,light_medium,Light Medium,warm,"Camel,Rust,Olive,Mustard,Terracotta"
127,94,55,99.42,33,72,39,34.47,4,dark,Dark/Deep Brown,warm,"Camel,Rust,Olive,Mustard,Terracotta"
145,107,58,112.78,38,87,49,35.81,3,medium_dark,Medium Dark,warm,"Camel,Rust,Olive,Mustard,Terracotta"
114,71,60,82.6,43,54,11,31.12,4,dark,Dark/Deep Brown,warm,"Camel,Rust,Olive,Mustard,Terracotta"
198,141,136,157.47,57,62,5,60.02,2,medium,Medium/Wheatish,warm,"Camel,Rust,Olive,Mustard,Terracotta"
156,126,105,132.58,30,51,21,58.3,2,medium,Medium/Wheatish,warm,"Camel,Rust,Olive,Mustard,Terracotta"
214,190,172,195.12,24,42,18,73.86,0,light,Fair/Light,warm,"Camel,Rust,Olive,Mustard,Terracotta"
250,203,204,217.17,47,46,-1,74.61,0,light,Fair/Light,warm,"Camel,Rust,Olive,Mustard,Terracotta"
212,219,167,210.98,-7,45,52,74.38,0,light,Fair/Light,warm,"Camel,Rust,Olive,Mustard,Terracotta"
135,128,63,122.68,7,72,65,45.27,3,medium_dark,Medium Dark,warm,"Camel,Rust,Olive,Mustard,Terracotta"
169,118,72,128.0,51,97,46,38.8,3,medium_dark,Medium Dark,warm,"Camel,Rust,Olive,Mustard,Terracotta"
53,62,39,56.69,-9,14,23,25.54,5,deep,Deep/Rich,neutral,"White,Black,Navy,Blush,Teal"
138,134,77,128.7,4,61,57,52.22,3,medium_dark,Medium Dark,warm,"Camel,Rust,Olive,Mustard,Terracotta"
160,130,123,138.17,30,37,7,67.23,2,medium,Medium/Wheatish,warm,"Camel,Rust,Olive,Mustard,Terracotta"
201,170,138,175.62,31,63,32,63.37,1,light_medium,Light Medium,warm,"Camel,Rust,Olive,Mustard,Terracotta"
209,174,123,178.65,35,86,51,56.24,1,light_medium,Light Medium,warm,"Camel,Rust,Olive,Mustard,Terracotta"
218,168,133,178.96,50,85,35,56.61,1,light_medium,Light Medium,warm,"Camel,Rust,Olive,Mustard,Terracotta"
150,121,62,122.94,29,88,59,39.65,3,medium_dark,Medium Dark,warm,"Camel,Rust,Olive,Mustard,Terracotta"
71,49,43,54.89,22,28,6,9.91,5,deep,Deep/Rich,warm,"Camel,Rust,Olive,Mustard,Terracotta"
193,181,149,180.94,12,44,32,71.43,1,light_medium,Light Medium,warm,"Camel,Rust,Olive,Mustard,Terracotta"
216,205,160,203.16,11,56,45,69.92,0,light,Fair/Light,warm,"Camel,Rust,Olive,Mustard,Terracotta"
156,105,99,119.56,51,57,6,50.67,3,medium_dark,Medium Dark,warm,"Camel,Rust,Olive,Mustard,Terracotta"
55,29,29,36.77,26,26,0,-26.97,5,deep,Deep/Rich,warm,"Camel,Rust,Olive,Mustard,Terracotta"
240,222,163,220.66,18,77,59,65.72,0,light,Fair/Light,warm,"Camel,Rust,Olive,Mustard,Terracotta"
56,69,59,63.97,-13,-3,10,77.88,5,deep,Deep/Rich,neutral,"White,Black,Navy,Blush,Teal"
193,175,150,177.53,18,43,25,71.37,1,light_medium,Light Medium,warm,"Camel,Rust,Olive,Mustard,Terracotta"
135,128,105,127.47,7,30,23,68.83,3,medium_dark,Medium Dark,warm,"Camel,Rust,Olive,Mustard,Terracotta"
183,159,128,162.64,24,55,31,63.97,1,light_medium,Light Medium,warm,"Camel,Rust,Olive,Mustard,Terracotta"
199,163,163,173.76,36,36,0,73.78,1,light_medium,Light Medium,warm,"Camel,Rust,Olive,Mustard,Terracotta"
148,113,95,121.41,35,53,18,53.42,3,medium_dark,Medium Dark,warm,"Camel,Rust,Olive,Mustard,Terracotta"
66,69,21,62.63,-3,45,48,15.68,5,deep,Deep/Rich,warm,"Camel,Rust,Olive,Mustard,Terracotta"
196,165,98,166.63,31,98,67,49.96,2,medium,Medium/Wheatish,warm,"Camel,Rust,Olive,Mustard,Terracotta"
114,82,42,87.01,32,72,40,27.2,4,dark,Dark/Deep Brown,warm,"Camel,Rust,Olive,Mustard,Terracotta"
105,71,57,79.57,34,48,14,31.63,4,dark,Dark/Deep Brown,warm,"Camel,Rust,Olive,Mustard,Terracotta"
182,132,110,144.44,50,72,22,52.68,2,medium,Medium/Wheatish,warm,"Camel,Rust,Olive,Mustard,Terracotta"
67,49,61,55.75,18,6,-12,43.78,5,deep,Deep/Rich,neutral,"White,Black,Navy,Blush,Teal"
42,28,48,34.47,14,-6,-20,-68.88,5,deep,Deep/Rich,neutral,"White,Black,Navy,Blush,Teal"
184,154,129,160.12,30,55,25,63.46,1,light_medium,Light Medium,warm,"Camel,Rust,Olive,Mustard,Terracotta"
251,180,195,202.94,71,56,-15,69.89,0,light,Fair/Light,warm,"Camel,Rust,Olive,Mustard,Terracotta"
74,64,50,65.39,10,24,14,32.67,5,deep,Deep/Rich,warm,"Camel,Rust,Olive,Mustard,Terracotta"
143,112,88,118.53,31,55,24,51.25,3,medium_dark,Medium Dark,warm,"Camel,Rust,Olive,Mustard,Terracotta"
95,81,58,82.56,14,37,23,41.35,4,dark,Dark/Deep Brown,warm,"Camel,Rust,Olive,Mustard,Terracotta"
198,180,162,183.33,18,36,18,74.89,1,light_medium,Light Medium,warm,"Camel,Rust,Olive,Mustard,Terracotta"
93,82,65,83.35,11,28,17,49.98,4,dark,Dark/Deep Brown,warm,"Camel,Rust,Olive,Mustard,Terracotta"
164,82,82,106.52,82,82,0,34.58,3,medium_dark,Medium Dark,warm,"Camel,Rust,Olive,Mustard,Terracotta"
158,92,83,110.71,66,75,9,38.99,3,medium_dark,Medium Dark,warm,"Camel,Rust,Olive,Mustard,Terracotta"
95,62,44,69.82,33,51,18,21.24,4,dark,Dark/Deep Brown,warm,"Camel,Rust,Olive,Mustard,Terracotta"
133,125,59,119.87,8,74,66,43.36,3,medium_dark,Medium Dark,warm,"Camel,Rust,Olive,Mustard,Terracotta"
115,70,50,81.18,45,65,20,25.63,4,dark,Dark/Deep Brown,warm,"Camel,Rust,Olive,Mustard,Terracotta"
55,49,52,51.14,6,3,-3,20.81,5,deep,Deep/Rich,neutral,"White,Black,Navy,Blush,Teal"
233,225,192,223.63,8,41,33,76.71,0,light,Fair/Light,warm,"Camel,Rust,Olive,Mustard,Terracotta"
191,169,140,172.27,22,51,29,67.36,1,light_medium,Light Medium,warm,"Camel,Rust,Olive,Mustard,Terracotta"
79,60,36,62.94,19,43,24,16.75,5,deep,Deep/Rich,warm,"Camel,Rust,Olive,Mustard,Terracotta"
186,164,161,170.24,22,25,3,78.25,1,light_medium,Light Medium,warm,"Camel,Rust,Olive,Mustard,Terracotta"
148,127,59,125.53,21,89,68,40.32,3,medium_dark,Medium Dark,warm,"Camel,Rust,Olive,Mustard,Terracotta"
55,42,47,46.46,13,8,-5,-23.87,5,deep,Deep/Rich,neutral,"White,Black,Navy,Blush,Teal"
193,164,153,171.42,29,40,11,71.77,1,light_medium,Light Medium,warm,"Camel,Rust,Olive,Mustard,Terracotta"
202,165,134,172.53,37,68,31,60.97,1,light_medium,Light Medium,warm,"Camel,Rust,Olive,Mustard,Terracotta"
226,199,211,208.44,27,15,-12,84.59,0,light,Fair/Light,neutral,"White,Black,Navy,Blush,Teal"
48,57,16,49.63,-9,32,41,-0.66,5,deep,Deep/Rich,warm,"Camel,Rust,Olive,Mustard,Terracotta"
57,66,59,62.51,-9,-2,7,80.92,5,deep,Deep/Rich,neutral,"White,Black,Navy,Blush,Teal"
76,37,41,49.12,39,35,-4,-1.44,5,deep,Deep/Rich,warm,"Camel,Rust,Olive,Mustard,Terracotta"
111,73,70,84.02,38,41,3,39.68,4,dark,Dark/Deep Brown,warm,"Camel,Rust,Olive,Mustard,Terracotta"
204,177,117,178.23,27,87,60,55.84,1,light_medium,Light Medium,warm,"Camel,Rust,Olive,Mustard,Terracotta"
214,209,170,206.05,5,44,39,74.25,0,light,Fair/Light,warm,"Camel,Rust,Olive,Mustard,Terracotta"
185,118,122,138.49,67,63,-4,54.55,2,medium,Medium/Wheatish,warm,"Camel,Rust,Olive,Mustard,Terracotta"
193,139,101,150.81,54,92,38,47.62,2,medium,Medium/Wheatish,warm,"Camel,Rust,Olive,Mustard,Terracotta"
181,126,102,139.71,55,79,24,48.63,2,medium,Medium/Wheatish,warm,"Camel,Rust,Olive,Mustard,Terracotta"
152,92,82,108.8,60,70,10,40.03,3,medium_dark,Medium Dark,warm,"Camel,Rust,Olive,Mustard,Terracotta"
92,55,70,67.77,37,22,-15,38.93,4,dark,Dark/Deep Brown,warm,"Camel,Rust,Olive,Mustard,Terracotta"
39,55,43,48.85,-16,-4,12,-16.04,5,deep,Deep/Rich,neutral,"White,Black,Navy,Blush,Teal"
221,208,196,210.52,13,25,12,81.15,0,light,Fair/Light,warm,"Camel,Rust,Olive,Mustard,Terracotta"
131,100,68,105.62,31,63,32,41.44,4,dark,Dark/Deep Brown,warm,"Camel,Rust,Olive,Mustard,Terracotta"
214,181,159,188.36,33,55,22,68.32,1,light_medium,Light Medium,warm,"Camel,Rust,Olive,Mustard,Terracotta"
140,98,40,103.95,42,100,58,28.35,4,dark,Dark/Deep Brown,warm,"Camel,Rust,Olive,Mustard,Terracotta"
192,158,116,163.38,34,76,42,56.17,2,medium,Medium/Wheatish,warm,"Camel,Rust,Olive,Mustard,Terracotta"
140,130,79,127.18,10,61,51,51.68,3,medium_dark,Medium Dark,warm,"Camel,Rust,Olive,Mustard,Terracotta"
79,33,50,48.69,46,29,-17,-2.59,5,deep,Deep/Rich,warm,"Camel,Rust,Olive,Mustard,Terracotta"
171,166,104,160.43,5,67,62,58.75,2,medium,Medium/Wheatish,warm,"Camel,Rust,Olive,Mustard,Terracotta"
